Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m),PAR (mol/m/s),max. PAR (mol/m/s),Tlog (degC),CO2 (ppm)
2024-04-18 20:00:00,990.3316666666666,6.18,280.10833333333335,1.8066666666666666,73.47,9.478333333333333,6.96,2.515,4.385000000000001,7.03,1231.79,2.3916666666666666,3.0433333333333334,246.3166666666667,0.0,0.0,0.0,0.0,0.0,16.526666666666667,427.26666666666665
2024-04-18 21:00:00,990.265,6.508333333333333,280.4433333333333,2.013333333333333,72.88,9.693333333333333,7.0633333333333335,2.6283333333333334,4.448333333333333,7.133333333333333,1230.2116666666666,2.3183333333333334,2.9466666666666668,248.58333333333334,0.0,0.0,0.0,0.0,0.0,15.58,427.8
2024-04-18 22:00:00,990.1550000000001,6.206666666666667,280.1483333333333,1.7516666666666667,73.05166666666666,9.493333333333334,6.933333333333334,2.5566666666666666,4.368333333333333,7.003333333333334,1231.4733333333334,2.518333333333333,3.1283333333333334,247.15,0.0,0.0,0.0,0.0,0.0,15.229999999999999,429.3
2024-04-18 23:00:00,989.9033333333333,5.718333333333334,279.67333333333335,1.7133333333333332,75.39,9.178333333333333,6.916666666666667,2.2616666666666667,4.3566666666666665,6.986666666666667,1233.3316666666667,1.8983333333333334,2.6766666666666663,234.25,0.0,0.0,0.0,0.0,0.0,14.901666666666666,432.75
2024-04-19 00:00:00,989.5466666666666,5.583333333333333,279.5733333333333,1.3916666666666666,74.32000000000001,9.091666666666667,6.755,2.3333333333333335,4.258333333333334,6.826666666666667,1233.5483333333334,1.57,2.5233333333333334,239.5,0.0,0.0,0.0,0.0,0.0,14.818333333333333,432.8333333333333
2024-04-19 01:00:00,988.985,4.526666666666666,278.56,1.843333333333333,82.72666666666667,8.446666666666667,6.9799999999999995,1.4683333333333335,4.3999999999999995,7.0566666666666675,1237.4266666666665,1.0383333333333333,1.9400000000000002,170.58333333333334,0.0,0.0,0.0,0.0,0.0,14.736666666666666,446.3833333333334
2024-04-19 02:00:00,988.2366666666667,4.073333333333333,278.16333333333336,1.8399999999999999,85.31666666666666,8.18,6.976666666666667,1.2033333333333334,4.405,7.06,1238.51,1.095,1.92,144.86666666666667,0.0,0.0,0.0,0.0,0.0,14.508333333333333,447.06666666666666
2024-04-19 03:00:00,987.355,4.46,278.62166666666667,1.5199999999999998,81.24666666666667,8.406666666666666,6.82,1.5866666666666667,4.306666666666667,6.906666666666666,1235.76,0.7783333333333333,1.7883333333333333,199.0716666666667,0.0,0.0,0.0,0.0,0.0,14.456666666666669,444.0833333333333
2024-04-19 04:00:00,986.3883333333333,5.506666666666667,279.75,1.3566666666666667,74.52333333333333,9.045,6.738333333333333,2.3033333333333332,4.260000000000001,6.831666666666667,1229.9383333333333,2.77,4.328333333333333,206.88333333333333,0.0,0.0,0.0,0.0,0.0,14.5,436.2833333333333
2024-04-19 05:00:00,985.355,5.098333333333334,279.42333333333335,1.5716666666666665,77.88333333333333,8.790000000000001,6.846666666666667,1.9433333333333334,4.331666666666666,6.945,1230.4016666666666,2.0900000000000003,3.061666666666667,197.15,0.0,0.0,3.188333333333333,8.326666666666666,10.229999999999999,14.653333333333334,441.45
2024-04-19 06:00:00,984.6266666666667,5.75,280.1383333333333,1.5366666666666668,74.24833333333333,9.196666666666667,6.826666666666667,2.3699999999999997,4.323333333333333,6.9366666666666665,1226.6299999999999,4.646666666666667,6.788333333333334,208.15,0.0,0.0,43.86166666666667,86.19166666666666,95.54833333333333,14.851666666666667,436.05
2024-04-19 07:00:00,983.6683333333334,6.101666666666667,280.57,1.4583333333333333,72.02666666666667,9.424999999999999,6.79,2.6350000000000002,4.303333333333334,6.903333333333333,1223.8966666666668,6.011666666666667,9.051666666666668,208.79999999999998,0.0,0.0,102.22833333333334,202.50166666666667,227.12833333333333,14.823333333333332,433.1166666666666
2024-04-19 08:00:00,982.4483333333333,6.125,280.69,1.8166666666666667,73.82333333333334,9.438333333333334,6.97,2.47,4.425,7.091666666666666,1222.205,6.6450000000000005,10.555,213.48333333333335,0.016666666666666666,0.0,141.26,284.9816666666666,332.295,14.846666666666666,429.98333333333335
2024-04-19 09:00:00,981.235,6.131666666666667,280.7966666666667,1.96,74.57333333333334,9.446666666666667,7.038333333333333,2.405,4.4750000000000005,7.175,1220.6233333333332,7.8500000000000005,12.393333333333333,216.4333333333333,0.0,8.333333333333334,202.32833333333335,415.6133333333334,477.9583333333333,14.781666666666666,429.31666666666666
2024-04-19 10:00:00,980.43,5.558333333333334,280.2866666666667,2.4066666666666667,80.125,9.078333333333333,7.266666666666667,1.8116666666666668,4.623333333333334,7.411666666666666,1222.0216666666668,7.205000000000001,11.836666666666666,215.6833333333333,0.05000000000000001,191.66666666666666,166.71,353.9583333333333,404.0,14.216666666666667,427.9166666666667
2024-04-19 11:00:00,979.8783333333332,4.516666666666667,279.285,2.6616666666666666,87.71666666666665,8.436666666666667,7.401666666666666,1.0366666666666666,4.71,7.551666666666667,1225.8483333333334,6.695,10.496666666666668,213.36666666666667,0.15,590.0,128.75,286.1983333333333,325.7633333333333,13.39,428.59999999999997
2024-04-19 12:00:00,979.315,5.038333333333333,279.8533333333333,3.4499999999999997,89.43333333333334,8.753333333333332,7.830000000000001,0.9283333333333333,4.988333333333333,7.995,1222.6466666666668,4.485,7.550000000000001,218.53333333333333,0.03333333333333333,323.3333333333333,225.16666666666666,476.5333333333333,545.84,13.283333333333333,428.4166666666667
2024-04-19 13:00:00,978.7033333333334,6.1883333333333335,281.06166666666667,3.716666666666667,84.16666666666667,9.483333333333333,7.978333333333333,1.505,5.086666666666667,8.15,1216.77,4.158333333333333,7.071666666666666,216.78333333333333,0.0,0.0,276.59499999999997,577.8283333333334,657.0466666666666,14.65,427.4166666666667
2024-04-19 14:00:00,978.0466666666666,7.053333333333334,281.98833333333334,3.35,77.23166666666667,10.063333333333333,7.77,2.2966666666666664,4.956666666666667,7.946666666666666,1212.2949999999998,4.461666666666667,7.488333333333333,220.91666666666666,0.0,0.0,304.235,618.3783333333333,716.8766666666667,16.168333333333333,426.9166666666667
2024-04-19 15:00:00,977.5566666666667,7.239999999999999,282.215,3.2483333333333335,75.69166666666666,10.193333333333333,7.716666666666666,2.4783333333333335,4.923333333333333,7.8933333333333335,1210.9083333333333,4.83,7.79,212.33333333333334,0.0,0.0,183.43166666666664,376.6166666666666,453.565,16.935,426.98333333333335
2024-04-19 16:00:00,977.1550000000001,7.586666666666667,282.59666666666664,3.33,74.35833333333333,10.438333333333334,7.760000000000001,2.6783333333333332,4.953333333333333,7.9433333333333325,1208.8999999999999,4.8966666666666665,7.378333333333333,213.11666666666667,0.0,61.666666666666664,119.79833333333333,246.66166666666666,263.32166666666666,16.893333333333334,426.8333333333333
2024-04-19 17:00:00,977.0300000000001,6.704999999999999,281.72166666666664,4.01,82.905,9.826666666666666,8.143333333333333,1.6866666666666668,5.2,8.335,1212.3733333333332,3.065,5.181666666666667,209.3166666666667,0.016666666666666666,553.3333333333334,76.54166666666667,159.63,176.34,16.66333333333333,428.3833333333334
2024-04-19 18:00:00,977.0316666666668,6.113333333333333,281.12333333333333,4.395,88.73333333333333,9.433333333333334,8.368333333333334,1.0650000000000002,5.345,8.563333333333333,1214.8383333333334,2.3633333333333333,4.455,222.4333333333333,0.26666666666666666,478.3333333333333,17.798333333333336,38.67666666666667,47.03666666666667,16.311666666666667,429.55
